id,item_id,category_name,最大月銷量,最小月銷量,熱銷程度,update_time
255,69594297,耳機喇叭,3,3,滯銷,2018-04-17
256,209396657,耳機喇叭,3,2,滯銷,2018-04-17
257,172518388,耳機喇叭,3,3,滯銷,2018-04-17
258,631951321,耳機喇叭,3,3,滯銷,2018-04-17
259,16857452,耳機喇叭,3,3,滯銷,2018-04-17
260,87765859,耳機喇叭,3,2,滯銷,2018-04-17
261,9565148,耳機喇叭,3,3,滯銷,2018-04-17
262,389638479,耳機喇叭,3,3,滯銷,2018-04-17
263,91411782,耳機喇叭,3,1,滯銷,2018-04-17
264,271138524,耳機喇叭,2,2,滯銷,2018-04-17
265,122847718,耳機喇叭,2,2,滯銷,2018-04-17
266,370068745,耳機喇叭,2,2,滯銷,2018-04-17
267,956255544,耳機喇叭,2,2,滯銷,2018-04-17
268,266230341,耳機喇叭,2,2,滯銷,2018-04-17
269,379197877,耳機喇叭,2,2,滯銷,2018-04-17
270,57688696,耳機喇叭,2,2,滯銷,2018-04-17
271,236165760,耳機喇叭,2,1,滯銷,2018-04-17
272,224235773,耳機喇叭,2,2,滯銷,2018-04-17
273,201453100,耳機喇叭,2,2,滯銷,2018-04-17
274,114324891,耳機喇叭,2,2,滯銷,2018-04-17
275,959686840,耳機喇叭,2,1,滯銷,2018-04-17
276,13728342,耳機喇叭,2,2,滯銷,2018-04-17
277,710773198,耳機喇叭,2,2,滯銷,2018-04-17
278,595599733,耳機喇叭,2,2,滯銷,2018-04-17
279,66166241,耳機喇叭,2,2,滯銷,2018-04-17
280,924181680,耳機喇叭,2,2,滯銷,2018-04-17
281,263827149,耳機喇叭,2,2,滯銷,2018-04-17
282,515302710,耳機喇叭,2,2,滯銷,2018-04-17
283,405807023,耳機喇叭,2,2,滯銷,2018-04-17
284,77943388,耳機喇叭,2,2,滯銷,2018-04-17
285,35930876,耳機喇叭,2,2,滯銷,2018-04-17
286,972488199,耳機喇叭,2,2,滯銷,2018-04-17
287,85138670,耳機喇叭,2,2,滯銷,2018-04-17
288,171348019,耳機喇叭,2,2,滯銷,2018-04-17
289,10952608,耳機喇叭,2,2,滯銷,2018-04-17
290,5512613,耳機喇叭,2,2,滯銷,2018-04-17
291,728698122,耳機喇叭,2,2,滯銷,2018-04-17
292,263405186,耳機喇叭,2,2,滯銷,2018-04-17
293,171421506,耳機喇叭,2,2,滯銷,2018-04-17
294,100072583,耳機喇叭,2,1,滯銷,2018-04-17
295,305908180,耳機喇叭,2,2,滯銷,2018-04-17
296,5411534,耳機喇叭,2,1,滯銷,2018-04-17
297,136795965,耳機喇叭,2,2,滯銷,2018-04-17
298,409907820,耳機喇叭,2,2,滯銷,2018-04-17
299,103795475,耳機喇叭,2,2,滯銷,2018-04-17
300,97655880,耳機喇叭,2,2,滯銷,2018-04-17
301,454283981,耳機喇叭,2,2,滯銷,2018-04-17
302,928907380,耳機喇叭,2,2,滯銷,2018-04-17
303,913839017,耳機喇叭,2,2,滯銷,2018-04-17
304,276553879,耳機喇叭,2,1,滯銷,2018-04-17
305,234008874,耳機喇叭,2,2,滯銷,2018-04-17
306,986462589,耳機喇叭,2,2,滯銷,2018-04-17
307,741007398,耳機喇叭,2,1,滯銷,2018-04-17
308,111247316,耳機喇叭,2,2,滯銷,2018-04-17
309,982494929,耳機喇叭,2,2,滯銷,2018-04-17
310,456880049,耳機喇叭,2,2,滯銷,2018-04-17
311,784810141,耳機喇叭,2,2,滯銷,2018-04-17
312,973322926,耳機喇叭,2,2,滯銷,2018-04-17
313,877583055,耳機喇叭,2,2,滯銷,2018-04-17
314,982900651,耳機喇叭,2,2,滯銷,2018-04-17
315,16857844,耳機喇叭,2,2,滯銷,2018-04-17
316,1016540791,耳機喇叭,2,2,滯銷,2018-04-17
317,967125337,耳機喇叭,2,2,滯銷,2018-04-17
318,665084787,耳機喇叭,2,2,滯銷,2018-04-17
319,480629804,耳機喇叭,2,2,滯銷,2018-04-17
320,137271623,耳機喇叭,2,1,滯銷,2018-04-17
321,264633587,耳機喇叭,2,2,滯銷,2018-04-17
322,218824771,耳機喇叭,2,1,滯銷,2018-04-17
323,345695486,耳機喇叭,2,2,滯銷,2018-04-17
324,122847723,耳機喇叭,2,2,滯銷,2018-04-17
325,14595765,耳機喇叭,2,2,滯銷,2018-04-17
326,138068359,耳機喇叭,2,2,滯銷,2018-04-17
327,638114066,耳機喇叭,2,2,滯銷,2018-04-17
328,313501833,耳機喇叭,2,2,滯銷,2018-04-17
329,391879485,耳機喇叭,2,2,滯銷,2018-04-17
330,206772904,耳機喇叭,2,2,滯銷,2018-04-17
331,129185143,耳機喇叭,1,1,滯銷,2018-04-17
332,887495814,耳機喇叭,1,1,滯銷,2018-04-17
333,986097268,耳機喇叭,1,1,滯銷,2018-04-17
334,886937563,耳機喇叭,1,1,滯銷,2018-04-17
335,994168294,耳機喇叭,1,1,滯銷,2018-04-17
336,786678013,耳機喇叭,1,1,滯銷,2018-04-17
337,553321895,耳機喇叭,1,1,滯銷,2018-04-17
338,819987507,耳機喇叭,1,1,滯銷,2018-04-17
339,18114599,耳機喇叭,1,1,滯銷,2018-04-17
340,874744396,耳機喇叭,1,1,滯銷,2018-04-17
341,1019623223,耳機喇叭,1,1,滯銷,2018-04-17
342,924092568,耳機喇叭,1,1,滯銷,2018-04-17
343,935394553,耳機喇叭,1,1,滯銷,2018-04-17
344,622827254,耳機喇叭,1,1,滯銷,2018-04-17
345,812011193,耳機喇叭,1,1,滯銷,2018-04-17
346,10025792,耳機喇叭,1,1,滯銷,2018-04-17
347,13696196,耳機喇叭,1,1,滯銷,2018-04-17
348,10599262,耳機喇叭,1,1,滯銷,2018-04-17
349,172238806,耳機喇叭,1,1,滯銷,2018-04-17
350,607446874,耳機喇叭,1,1,滯銷,2018-04-17
351,994349978,耳機喇叭,1,1,滯銷,2018-04-17
352,717962117,耳機喇叭,1,1,滯銷,2018-04-17
353,271116408,耳機喇叭,1,1,滯銷,2018-04-17
354,319263991,耳機喇叭,1,1,滯銷,2018-04-17
355,951250315,耳機喇叭,1,1,滯銷,2018-04-17
356,68756667,耳機喇叭,1,1,滯銷,2018-04-17
357,650068202,耳機喇叭,1,1,滯銷,2018-04-17
358,614708164,耳機喇叭,1,1,滯銷,2018-04-17
359,708469142,耳機喇叭,1,1,滯銷,2018-04-17
360,953405777,耳機喇叭,1,1,滯銷,2018-04-17
361,805854440,耳機喇叭,1,1,滯銷,2018-04-17
362,342383544,耳機喇叭,1,1,滯銷,2018-04-17
363,379708074,耳機喇叭,1,1,滯銷,2018-04-17
364,979275701,耳機喇叭,1,1,滯銷,2018-04-17
365,451657070,耳機喇叭,1,1,滯銷,2018-04-17
366,931342183,耳機喇叭,1,1,滯銷,2018-04-17
367,244373701,耳機喇叭,1,1,滯銷,2018-04-17
368,911140758,耳機喇叭,1,1,滯銷,2018-04-17
369,898512780,耳機喇叭,1,1,滯銷,2018-04-17
370,950382526,耳機喇叭,1,1,滯銷,2018-04-17
371,13655771,耳機喇叭,1,1,滯銷,2018-04-17
372,170220014,耳機喇叭,1,1,滯銷,2018-04-17
373,122486464,耳機喇叭,1,1,滯銷,2018-04-17
374,368193054,耳機喇叭,1,1,滯銷,2018-04-17
375,974050206,耳機喇叭,1,1,滯銷,2018-04-17
376,864157337,耳機喇叭,1,1,滯銷,2018-04-17
377,938501594,耳機喇叭,1,1,滯銷,2018-04-17
378,845695296,耳機喇叭,1,1,滯銷,2018-04-17
379,456756782,耳機喇叭,1,1,滯銷,2018-04-17
380,502085463,耳機喇叭,1,1,滯銷,2018-04-17
381,1018046114,耳機喇叭,1,1,滯銷,2018-04-17
382,914678770,耳機喇叭,1,1,滯銷,2018-04-17
383,612705227,耳機喇叭,1,1,滯銷,2018-04-17
384,476106619,耳機喇叭,1,1,滯銷,2018-04-17
385,996013068,耳機喇叭,1,1,滯銷,2018-04-17
386,169186617,耳機喇叭,1,1,滯銷,2018-04-17
387,16968601,耳機喇叭,1,1,滯銷,2018-04-17
388,18244988,耳機喇叭,1,1,滯銷,2018-04-17
389,321377533,耳機喇叭,1,1,滯銷,2018-04-17
390,823319864,耳機喇叭,1,1,滯銷,2018-04-17
391,847670915,耳機喇叭,1,1,滯銷,2018-04-17
392,888718736,耳機喇叭,1,1,滯銷,2018-04-17
393,146185802,耳機喇叭,1,1,滯銷,2018-04-17
394,986299034,耳機喇叭,1,1,滯銷,2018-04-17
395,112555411,耳機喇叭,1,1,滯銷,2018-04-17
396,16986058,耳機喇叭,1,1,滯銷,2018-04-17
397,13518349,耳機喇叭,1,1,滯銷,2018-04-17
398,137561298,耳機喇叭,1,1,滯銷,2018-04-17
399,39431312,耳機喇叭,1,1,滯銷,2018-04-17
400,22461148,耳機喇叭,1,1,滯銷,2018-04-17
401,972786214,耳機喇叭,1,1,滯銷,2018-04-17
402,915756893,耳機喇叭,1,1,滯銷,2018-04-17
403,310821327,耳機喇叭,1,1,滯銷,2018-04-17
404,624567952,耳機喇叭,1,1,滯銷,2018-04-17
405,176314817,耳機喇叭,1,1,滯銷,2018-04-17
406,840579855,耳機喇叭,1,1,滯銷,2018-04-17
407,172368968,耳機喇叭,1,1,滯銷,2018-04-17
408,257075397,耳機喇叭,1,1,滯銷,2018-04-17
409,926507172,耳機喇叭,1,1,滯銷,2018-04-17
410,1021651012,耳機喇叭,1,1,滯銷,2018-04-17
411,272273279,耳機喇叭,1,1,滯銷,2018-04-17
412,129695120,耳機喇叭,1,1,滯銷,2018-04-17
413,116576458,耳機喇叭,1,1,滯銷,2018-04-17
414,249796254,耳機喇叭,1,1,滯銷,2018-04-17
415,410316889,耳機喇叭,1,1,滯銷,2018-04-17
416,78512711,耳機喇叭,1,1,滯銷,2018-04-17
417,100809436,耳機喇叭,1,1,滯銷,2018-04-17
418,886335042,耳機喇叭,1,1,滯銷,2018-04-17
419,892035190,耳機喇叭,1,1,滯銷,2018-04-17
420,323307472,耳機喇叭,1,1,滯銷,2018-04-17
421,235175946,耳機喇叭,1,1,滯銷,2018-04-17
422,660838809,耳機喇叭,1,1,滯銷,2018-04-17
423,41844943,耳機喇叭,1,1,滯銷,2018-04-17
424,314399866,耳機喇叭,1,1,滯銷,2018-04-17
425,932825810,耳機喇叭,1,1,滯銷,2018-04-17
426,111493679,耳機喇叭,1,1,滯銷,2018-04-17
427,196147587,耳機喇叭,1,1,滯銷,2018-04-17
428,138700440,耳機喇叭,1,1,滯銷,2018-04-17
429,3630221,耳機喇叭,1,1,滯銷,2018-04-17
430,635394508,耳機喇叭,1,1,滯銷,2018-04-17
431,936127121,耳機喇叭,1,1,滯銷,2018-04-17
432,962097225,耳機喇叭,1,1,滯銷,2018-04-17
433,867992699,耳機喇叭,1,1,滯銷,2018-04-17
434,262709767,耳機喇叭,1,1,滯銷,2018-04-17
435,276666228,耳機喇叭,1,1,滯銷,2018-04-17
436,189809547,耳機喇叭,1,1,滯銷,2018-04-17
437,224799070,耳機喇叭,1,1,滯銷,2018-04-17
438,121867390,耳機喇叭,1,1,滯銷,2018-04-17
439,1013549917,耳機喇叭,1,1,滯銷,2018-04-17
440,1032915111,耳機喇叭,1,1,滯銷,2018-04-17
441,618720493,耳機喇叭,1,1,滯銷,2018-04-17
442,18278755,耳機喇叭,1,1,滯銷,2018-04-17
443,3909029,耳機喇叭,1,1,滯銷,2018-04-17
444,894055896,耳機喇叭,1,1,滯銷,2018-04-17
445,100057121,耳機喇叭,1,1,滯銷,2018-04-17
446,5618292,耳機喇叭,1,1,滯銷,2018-04-17
447,20485974,耳機喇叭,1,1,滯銷,2018-04-17
448,220125819,耳機喇叭,1,1,滯銷,2018-04-17
449,1001498133,耳機喇叭,1,1,滯銷,2018-04-17
450,1002120239,耳機喇叭,1,1,滯銷,2018-04-17
451,920872443,耳機喇叭,1,1,滯銷,2018-04-17
452,967245348,耳機喇叭,1,1,滯銷,2018-04-17
453,771741187,耳機喇叭,1,1,滯銷,2018-04-17
454,558026908,耳機喇叭,1,1,滯銷,2018-04-17
455,153669429,耳機喇叭,1,1,滯銷,2018-04-17
456,112548472,耳機喇叭,1,1,滯銷,2018-04-17
457,137089408,耳機喇叭,1,1,滯銷,2018-04-17
458,10601220,耳機喇叭,1,1,滯銷,2018-04-17
459,237542410,耳機喇叭,1,1,滯銷,2018-04-17
460,257876436,耳機喇叭,1,1,滯銷,2018-04-17
461,114867606,耳機喇叭,1,1,滯銷,2018-04-17
