id,item_id,category_name,最大月銷量,最小月銷量,update_time
240,249839230,耳機喇叭,3,3,2018-04-11
241,434582662,耳機喇叭,3,1,2018-04-11
242,87855893,耳機喇叭,3,2,2018-04-11
243,14593383,耳機喇叭,3,3,2018-04-11
244,237530670,耳機喇叭,3,3,2018-04-11
245,132158,耳機喇叭,3,3,2018-04-11
246,1010166262,耳機喇叭,3,3,2018-04-11
247,266040284,耳機喇叭,3,3,2018-04-11
248,202996663,耳機喇叭,3,2,2018-04-11
249,100405004,耳機喇叭,3,3,2018-04-11
250,143919053,耳機喇叭,3,2,2018-04-11
251,5268880,耳機喇叭,3,3,2018-04-11
252,1028320754,耳機喇叭,3,1,2018-04-11
253,501480999,耳機喇叭,3,3,2018-04-11
254,960825595,耳機喇叭,3,3,2018-04-11
255,69594297,耳機喇叭,3,3,2018-04-11
256,209396657,耳機喇叭,3,2,2018-04-11
257,172518388,耳機喇叭,3,3,2018-04-11
258,631951321,耳機喇叭,3,3,2018-04-11
259,16857452,耳機喇叭,3,3,2018-04-11
260,87765859,耳機喇叭,3,2,2018-04-11
261,9565148,耳機喇叭,3,3,2018-04-11
262,389638479,耳機喇叭,3,3,2018-04-11
263,91411782,耳機喇叭,3,1,2018-04-11
264,271138524,耳機喇叭,2,2,2018-04-11
265,122847718,耳機喇叭,2,2,2018-04-11
266,370068745,耳機喇叭,2,2,2018-04-11
267,956255544,耳機喇叭,2,2,2018-04-11
268,266230341,耳機喇叭,2,2,2018-04-11
269,379197877,耳機喇叭,2,2,2018-04-11
270,57688696,耳機喇叭,2,2,2018-04-11
271,236165760,耳機喇叭,2,1,2018-04-11
272,224235773,耳機喇叭,2,2,2018-04-11
273,201453100,耳機喇叭,2,2,2018-04-11
274,114324891,耳機喇叭,2,2,2018-04-11
275,959686840,耳機喇叭,2,1,2018-04-11
276,13728342,耳機喇叭,2,2,2018-04-11
277,710773198,耳機喇叭,2,2,2018-04-11
278,595599733,耳機喇叭,2,2,2018-04-11
279,66166241,耳機喇叭,2,2,2018-04-11
280,924181680,耳機喇叭,2,2,2018-04-11
281,263827149,耳機喇叭,2,2,2018-04-11
282,515302710,耳機喇叭,2,2,2018-04-11
283,405807023,耳機喇叭,2,2,2018-04-11
284,77943388,耳機喇叭,2,2,2018-04-11
285,35930876,耳機喇叭,2,2,2018-04-11
286,972488199,耳機喇叭,2,2,2018-04-11
287,85138670,耳機喇叭,2,2,2018-04-11
288,171348019,耳機喇叭,2,2,2018-04-11
289,10952608,耳機喇叭,2,2,2018-04-11
290,5512613,耳機喇叭,2,2,2018-04-11
291,728698122,耳機喇叭,2,2,2018-04-11
292,263405186,耳機喇叭,2,2,2018-04-11
293,171421506,耳機喇叭,2,2,2018-04-11
294,100072583,耳機喇叭,2,1,2018-04-11
295,305908180,耳機喇叭,2,2,2018-04-11
296,5411534,耳機喇叭,2,1,2018-04-11
297,136795965,耳機喇叭,2,2,2018-04-11
298,409907820,耳機喇叭,2,2,2018-04-11
299,103795475,耳機喇叭,2,2,2018-04-11
300,97655880,耳機喇叭,2,2,2018-04-11
301,454283981,耳機喇叭,2,2,2018-04-11
302,928907380,耳機喇叭,2,2,2018-04-11
303,913839017,耳機喇叭,2,2,2018-04-11
304,276553879,耳機喇叭,2,1,2018-04-11
305,234008874,耳機喇叭,2,2,2018-04-11
306,986462589,耳機喇叭,2,2,2018-04-11
307,741007398,耳機喇叭,2,1,2018-04-11
308,111247316,耳機喇叭,2,2,2018-04-11
309,982494929,耳機喇叭,2,2,2018-04-11
310,456880049,耳機喇叭,2,2,2018-04-11
311,784810141,耳機喇叭,2,2,2018-04-11
312,973322926,耳機喇叭,2,2,2018-04-11
313,877583055,耳機喇叭,2,2,2018-04-11
314,982900651,耳機喇叭,2,2,2018-04-11
315,16857844,耳機喇叭,2,2,2018-04-11
316,1016540791,耳機喇叭,2,2,2018-04-11
317,967125337,耳機喇叭,2,2,2018-04-11
318,665084787,耳機喇叭,2,2,2018-04-11
319,480629804,耳機喇叭,2,2,2018-04-11
320,137271623,耳機喇叭,2,1,2018-04-11
321,264633587,耳機喇叭,2,2,2018-04-11
322,218824771,耳機喇叭,2,1,2018-04-11
323,345695486,耳機喇叭,2,2,2018-04-11
324,122847723,耳機喇叭,2,2,2018-04-11
325,14595765,耳機喇叭,2,2,2018-04-11
326,138068359,耳機喇叭,2,2,2018-04-11
327,638114066,耳機喇叭,2,2,2018-04-11
328,313501833,耳機喇叭,2,2,2018-04-11
329,391879485,耳機喇叭,2,2,2018-04-11
330,206772904,耳機喇叭,2,2,2018-04-11
331,129185143,耳機喇叭,1,1,2018-04-11
332,887495814,耳機喇叭,1,1,2018-04-11
333,986097268,耳機喇叭,1,1,2018-04-11
334,886937563,耳機喇叭,1,1,2018-04-11
335,994168294,耳機喇叭,1,1,2018-04-11
336,786678013,耳機喇叭,1,1,2018-04-11
337,553321895,耳機喇叭,1,1,2018-04-11
338,819987507,耳機喇叭,1,1,2018-04-11
339,18114599,耳機喇叭,1,1,2018-04-11
340,874744396,耳機喇叭,1,1,2018-04-11
341,1019623223,耳機喇叭,1,1,2018-04-11
342,924092568,耳機喇叭,1,1,2018-04-11
343,935394553,耳機喇叭,1,1,2018-04-11
344,622827254,耳機喇叭,1,1,2018-04-11
345,812011193,耳機喇叭,1,1,2018-04-11
346,10025792,耳機喇叭,1,1,2018-04-11
347,13696196,耳機喇叭,1,1,2018-04-11
348,10599262,耳機喇叭,1,1,2018-04-11
349,172238806,耳機喇叭,1,1,2018-04-11
350,607446874,耳機喇叭,1,1,2018-04-11
351,994349978,耳機喇叭,1,1,2018-04-11
352,717962117,耳機喇叭,1,1,2018-04-11
353,271116408,耳機喇叭,1,1,2018-04-11
354,319263991,耳機喇叭,1,1,2018-04-11
355,951250315,耳機喇叭,1,1,2018-04-11
356,68756667,耳機喇叭,1,1,2018-04-11
357,650068202,耳機喇叭,1,1,2018-04-11
358,614708164,耳機喇叭,1,1,2018-04-11
359,708469142,耳機喇叭,1,1,2018-04-11
360,953405777,耳機喇叭,1,1,2018-04-11
361,805854440,耳機喇叭,1,1,2018-04-11
362,342383544,耳機喇叭,1,1,2018-04-11
363,379708074,耳機喇叭,1,1,2018-04-11
364,979275701,耳機喇叭,1,1,2018-04-11
365,451657070,耳機喇叭,1,1,2018-04-11
366,931342183,耳機喇叭,1,1,2018-04-11
367,244373701,耳機喇叭,1,1,2018-04-11
368,911140758,耳機喇叭,1,1,2018-04-11
369,898512780,耳機喇叭,1,1,2018-04-11
370,950382526,耳機喇叭,1,1,2018-04-11
371,13655771,耳機喇叭,1,1,2018-04-11
372,170220014,耳機喇叭,1,1,2018-04-11
373,122486464,耳機喇叭,1,1,2018-04-11
374,368193054,耳機喇叭,1,1,2018-04-11
375,974050206,耳機喇叭,1,1,2018-04-11
376,864157337,耳機喇叭,1,1,2018-04-11
377,938501594,耳機喇叭,1,1,2018-04-11
378,845695296,耳機喇叭,1,1,2018-04-11
379,456756782,耳機喇叭,1,1,2018-04-11
380,502085463,耳機喇叭,1,1,2018-04-11
381,1018046114,耳機喇叭,1,1,2018-04-11
382,914678770,耳機喇叭,1,1,2018-04-11
383,612705227,耳機喇叭,1,1,2018-04-11
384,476106619,耳機喇叭,1,1,2018-04-11
385,996013068,耳機喇叭,1,1,2018-04-11
386,169186617,耳機喇叭,1,1,2018-04-11
387,16968601,耳機喇叭,1,1,2018-04-11
388,18244988,耳機喇叭,1,1,2018-04-11
389,321377533,耳機喇叭,1,1,2018-04-11
390,823319864,耳機喇叭,1,1,2018-04-11
391,847670915,耳機喇叭,1,1,2018-04-11
392,888718736,耳機喇叭,1,1,2018-04-11
393,146185802,耳機喇叭,1,1,2018-04-11
394,986299034,耳機喇叭,1,1,2018-04-11
395,112555411,耳機喇叭,1,1,2018-04-11
396,16986058,耳機喇叭,1,1,2018-04-11
397,13518349,耳機喇叭,1,1,2018-04-11
398,137561298,耳機喇叭,1,1,2018-04-11
399,39431312,耳機喇叭,1,1,2018-04-11
400,22461148,耳機喇叭,1,1,2018-04-11
401,972786214,耳機喇叭,1,1,2018-04-11
402,915756893,耳機喇叭,1,1,2018-04-11
403,310821327,耳機喇叭,1,1,2018-04-11
404,624567952,耳機喇叭,1,1,2018-04-11
405,176314817,耳機喇叭,1,1,2018-04-11
406,840579855,耳機喇叭,1,1,2018-04-11
407,172368968,耳機喇叭,1,1,2018-04-11
408,257075397,耳機喇叭,1,1,2018-04-11
409,926507172,耳機喇叭,1,1,2018-04-11
410,1021651012,耳機喇叭,1,1,2018-04-11
411,272273279,耳機喇叭,1,1,2018-04-11
412,129695120,耳機喇叭,1,1,2018-04-11
413,116576458,耳機喇叭,1,1,2018-04-11
414,249796254,耳機喇叭,1,1,2018-04-11
415,410316889,耳機喇叭,1,1,2018-04-11
416,78512711,耳機喇叭,1,1,2018-04-11
417,100809436,耳機喇叭,1,1,2018-04-11
418,886335042,耳機喇叭,1,1,2018-04-11
419,892035190,耳機喇叭,1,1,2018-04-11
420,323307472,耳機喇叭,1,1,2018-04-11
421,235175946,耳機喇叭,1,1,2018-04-11
422,660838809,耳機喇叭,1,1,2018-04-11
423,41844943,耳機喇叭,1,1,2018-04-11
424,314399866,耳機喇叭,1,1,2018-04-11
425,932825810,耳機喇叭,1,1,2018-04-11
426,111493679,耳機喇叭,1,1,2018-04-11
427,196147587,耳機喇叭,1,1,2018-04-11
428,138700440,耳機喇叭,1,1,2018-04-11
429,3630221,耳機喇叭,1,1,2018-04-11
430,635394508,耳機喇叭,1,1,2018-04-11
431,936127121,耳機喇叭,1,1,2018-04-11
432,962097225,耳機喇叭,1,1,2018-04-11
433,867992699,耳機喇叭,1,1,2018-04-11
434,262709767,耳機喇叭,1,1,2018-04-11
435,276666228,耳機喇叭,1,1,2018-04-11
436,189809547,耳機喇叭,1,1,2018-04-11
437,224799070,耳機喇叭,1,1,2018-04-11
438,121867390,耳機喇叭,1,1,2018-04-11
439,1013549917,耳機喇叭,1,1,2018-04-11
440,1032915111,耳機喇叭,1,1,2018-04-11
441,618720493,耳機喇叭,1,1,2018-04-11
442,18278755,耳機喇叭,1,1,2018-04-11
443,3909029,耳機喇叭,1,1,2018-04-11
444,894055896,耳機喇叭,1,1,2018-04-11
445,100057121,耳機喇叭,1,1,2018-04-11
446,5618292,耳機喇叭,1,1,2018-04-11
447,20485974,耳機喇叭,1,1,2018-04-11
448,220125819,耳機喇叭,1,1,2018-04-11
449,1001498133,耳機喇叭,1,1,2018-04-11
450,1002120239,耳機喇叭,1,1,2018-04-11
451,920872443,耳機喇叭,1,1,2018-04-11
452,967245348,耳機喇叭,1,1,2018-04-11
453,771741187,耳機喇叭,1,1,2018-04-11
454,558026908,耳機喇叭,1,1,2018-04-11
455,153669429,耳機喇叭,1,1,2018-04-11
456,112548472,耳機喇叭,1,1,2018-04-11
457,137089408,耳機喇叭,1,1,2018-04-11
458,10601220,耳機喇叭,1,1,2018-04-11
459,237542410,耳機喇叭,1,1,2018-04-11
460,257876436,耳機喇叭,1,1,2018-04-11
461,114867606,耳機喇叭,1,1,2018-04-11
462,34323314,耳機喇叭,1,1,2018-04-11
463,77997430,耳機喇叭,1,1,2018-04-11
464,950817747,耳機喇叭,1,1,2018-04-11
465,636994986,耳機喇叭,1,1,2018-04-11
466,187009569,耳機喇叭,1,1,2018-04-11
467,416671018,耳機喇叭,1,1,2018-04-11
468,314854311,耳機喇叭,1,1,2018-04-11
469,122062067,耳機喇叭,1,1,2018-04-11
470,618072112,耳機喇叭,1,1,2018-04-11
471,439861026,耳機喇叭,1,1,2018-04-11
472,1029608992,耳機喇叭,1,1,2018-04-11
473,374110638,耳機喇叭,1,1,2018-04-11
474,1013862311,耳機喇叭,1,1,2018-04-11
475,935073012,耳機喇叭,1,1,2018-04-11
476,977993243,耳機喇叭,1,1,2018-04-11
477,139746001,耳機喇叭,1,1,2018-04-11
478,136472589,耳機喇叭,1,1,2018-04-11
479,170542275,耳機喇叭,1,1,2018-04-11
480,421186343,耳機喇叭,1,1,2018-04-11
481,316283774,耳機喇叭,1,1,2018-04-11
482,318178171,耳機喇叭,1,1,2018-04-11
483,609729495,耳機喇叭,1,1,2018-04-11
484,831158315,耳機喇叭,1,1,2018-04-11
485,937246985,耳機喇叭,1,1,2018-04-11
486,25485594,耳機喇叭,1,1,2018-04-11
487,960864640,耳機喇叭,1,1,2018-04-11
488,962740600,耳機喇叭,1,1,2018-04-11
489,455910107,耳機喇叭,1,1,2018-04-11
490,118664210,耳機喇叭,1,1,2018-04-11
491,146114065,耳機喇叭,1,1,2018-04-11
492,16595893,耳機喇叭,1,1,2018-04-11
493,929490248,耳機喇叭,1,1,2018-04-11
494,988528739,耳機喇叭,1,1,2018-04-11
495,7644229,耳機喇叭,1,1,2018-04-11
496,766350879,耳機喇叭,1,1,2018-04-11
497,344207970,耳機喇叭,1,1,2018-04-11
498,75050967,耳機喇叭,1,1,2018-04-11
499,143133807,耳機喇叭,1,1,2018-04-11
500,137997869,耳機喇叭,1,1,2018-04-11
501,949049802,耳機喇叭,1,1,2018-04-11
502,1019890595,耳機喇叭,1,1,2018-04-11
503,981529912,耳機喇叭,1,1,2018-04-11
504,696713641,耳機喇叭,1,1,2018-04-11
505,885950749,耳機喇叭,1,1,2018-04-11
506,1012593011,耳機喇叭,1,1,2018-04-11
507,442184572,耳機喇叭,1,1,2018-04-11
508,902575447,耳機喇叭,1,1,2018-04-11
509,998091143,耳機喇叭,1,1,2018-04-11
510,930502896,耳機喇叭,1,1,2018-04-11
511,88895900,耳機喇叭,1,1,2018-04-11
512,111481956,耳機喇叭,1,1,2018-04-11
513,448249496,耳機喇叭,1,1,2018-04-11
514,709275135,耳機喇叭,1,1,2018-04-11
515,758604905,耳機喇叭,1,1,2018-04-11
516,193790016,耳機喇叭,1,1,2018-04-11
517,169256327,耳機喇叭,1,1,2018-04-11
518,263958198,耳機喇叭,1,1,2018-04-11
519,206665430,耳機喇叭,1,1,2018-04-11
520,230599687,耳機喇叭,1,1,2018-04-11
521,159890388,耳機喇叭,1,1,2018-04-11
522,170978210,耳機喇叭,1,1,2018-04-11
523,100244721,行動電源,682,682,2018-04-11
524,486708331,行動電源,615,515,2018-04-11
525,508468757,行動電源,289,284,2018-04-11
526,107884256,行動電源,231,231,2018-04-11
527,729994595,行動電源,212,210,2018-04-11
528,812305048,行動電源,180,180,2018-04-11
529,765277899,行動電源,163,163,2018-04-11
530,1006422508,行動電源,160,160,2018-04-11
531,90794835,行動電源,113,111,2018-04-11
532,508469714,行動電源,113,113,2018-04-11
533,810509390,行動電源,111,101,2018-04-11
534,739376123,行動電源,106,106,2018-04-11
535,200051106,行動電源,100,96,2018-04-11
536,990729268,行動電源,97,91,2018-04-11
537,34204709,行動電源,84,84,2018-04-11
538,756351593,行動電源,79,79,2018-04-11
539,472553969,行動電源,78,72,2018-04-11
540,12973049,行動電源,66,62,2018-04-11
541,173188114,行動電源,62,60,2018-04-11
542,298577396,行動電源,58,58,2018-04-11
543,914204052,行動電源,56,55,2018-04-11
544,788629959,行動電源,43,42,2018-04-11
545,112485181,行動電源,42,41,2018-04-11
546,98602011,行動電源,41,38,2018-04-11
547,112821952,行動電源,40,30,2018-04-11
548,962802412,行動電源,40,34,2018-04-11
549,71284154,行動電源,38,31,2018-04-11
550,88443370,行動電源,37,37,2018-04-11
551,759335298,行動電源,37,37,2018-04-11
552,272196890,行動電源,35,35,2018-04-11
553,131936,行動電源,33,33,2018-04-11
554,224969647,行動電源,32,30,2018-04-11
555,5924238,行動電源,31,28,2018-04-11
556,16900280,行動電源,31,31,2018-04-11
557,493280152,行動電源,29,29,2018-04-11
558,95166580,行動電源,29,26,2018-04-11
