id,item_id,category_name,最大月銷量,最小月銷量,熱銷程度,update_time
240,123604528,耳機喇叭,3,0,滯銷,2018-05-14
241,3633007,耳機喇叭,3,3,滯銷,2018-05-14
242,195884803,耳機喇叭,3,2,滯銷,2018-05-14
243,249839230,耳機喇叭,3,3,滯銷,2018-05-14
244,434582662,耳機喇叭,3,1,滯銷,2018-05-14
245,87855893,耳機喇叭,3,2,滯銷,2018-05-14
246,14593383,耳機喇叭,3,3,滯銷,2018-05-14
247,237530670,耳機喇叭,3,3,滯銷,2018-05-14
248,132158,耳機喇叭,3,3,滯銷,2018-05-14
249,1010166262,耳機喇叭,3,3,滯銷,2018-05-14
250,266040284,耳機喇叭,3,3,滯銷,2018-05-14
251,202996663,耳機喇叭,3,2,滯銷,2018-05-14
252,100405004,耳機喇叭,3,3,滯銷,2018-05-14
253,143919053,耳機喇叭,3,2,滯銷,2018-05-14
254,5268880,耳機喇叭,3,3,滯銷,2018-05-14
255,1028320754,耳機喇叭,3,1,滯銷,2018-05-14
256,501480999,耳機喇叭,3,3,滯銷,2018-05-14
257,960825595,耳機喇叭,3,3,滯銷,2018-05-14
258,69594297,耳機喇叭,3,3,滯銷,2018-05-14
259,209396657,耳機喇叭,3,2,滯銷,2018-05-14
260,172518388,耳機喇叭,3,3,滯銷,2018-05-14
261,631951321,耳機喇叭,3,3,滯銷,2018-05-14
262,16857452,耳機喇叭,3,3,滯銷,2018-05-14
263,87765859,耳機喇叭,3,2,滯銷,2018-05-14
264,9565148,耳機喇叭,3,3,滯銷,2018-05-14
265,389638479,耳機喇叭,3,3,滯銷,2018-05-14
266,91411782,耳機喇叭,3,1,滯銷,2018-05-14
267,101446035,耳機喇叭,2,0,滯銷,2018-05-14
268,271138524,耳機喇叭,2,2,滯銷,2018-05-14
269,122847718,耳機喇叭,2,2,滯銷,2018-05-14
270,370068745,耳機喇叭,2,2,滯銷,2018-05-14
271,956255544,耳機喇叭,2,2,滯銷,2018-05-14
272,266230341,耳機喇叭,2,2,滯銷,2018-05-14
273,379197877,耳機喇叭,2,2,滯銷,2018-05-14
274,57688696,耳機喇叭,2,2,滯銷,2018-05-14
275,236165760,耳機喇叭,2,1,滯銷,2018-05-14
276,224235773,耳機喇叭,2,2,滯銷,2018-05-14
277,201453100,耳機喇叭,2,2,滯銷,2018-05-14
278,114324891,耳機喇叭,2,2,滯銷,2018-05-14
279,959686840,耳機喇叭,2,1,滯銷,2018-05-14
280,13728342,耳機喇叭,2,2,滯銷,2018-05-14
281,710773198,耳機喇叭,2,2,滯銷,2018-05-14
282,595599733,耳機喇叭,2,2,滯銷,2018-05-14
283,66166241,耳機喇叭,2,2,滯銷,2018-05-14
284,924181680,耳機喇叭,2,2,滯銷,2018-05-14
285,263827149,耳機喇叭,2,2,滯銷,2018-05-14
286,515302710,耳機喇叭,2,2,滯銷,2018-05-14
287,405807023,耳機喇叭,2,2,滯銷,2018-05-14
288,77943388,耳機喇叭,2,2,滯銷,2018-05-14
289,35930876,耳機喇叭,2,2,滯銷,2018-05-14
290,972488199,耳機喇叭,2,2,滯銷,2018-05-14
291,85138670,耳機喇叭,2,2,滯銷,2018-05-14
292,171348019,耳機喇叭,2,2,滯銷,2018-05-14
293,10952608,耳機喇叭,2,2,滯銷,2018-05-14
294,5512613,耳機喇叭,2,2,滯銷,2018-05-14
295,728698122,耳機喇叭,2,2,滯銷,2018-05-14
296,263405186,耳機喇叭,2,2,滯銷,2018-05-14
297,171421506,耳機喇叭,2,2,滯銷,2018-05-14
298,100072583,耳機喇叭,2,1,滯銷,2018-05-14
299,305908180,耳機喇叭,2,2,滯銷,2018-05-14
300,5411534,耳機喇叭,2,1,滯銷,2018-05-14
301,136795965,耳機喇叭,2,2,滯銷,2018-05-14
302,409907820,耳機喇叭,2,2,滯銷,2018-05-14
