item_id,product_name,item_name,item_price,item_stock
42047941,Annabon嘴唇嘴巴粉紅紅色水鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_貼鑽兔子鏡頭手機殼套保護殼套透明,紅色嘴巴,290,2
42047941,Annabon嘴唇嘴巴粉紅紅色水鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_貼鑽兔子鏡頭手機殼套保護殼套透明,桃紅嘴巴,290,2
42047946,Annabon大蝴蝶結粉紅水鑽zenfone2_5吋_ze500cl55吋_ze551ml貼鑽手機殼保護套,5吋,450,2
42047946,Annabon大蝴蝶結粉紅水鑽zenfone2_5吋_ze500cl55吋_ze551ml貼鑽手機殼保護套,55吋,450,2
920239779,Hawk_C480_鋁合金車用雙USB充電器金色PC免運費已拆封但無使用過,金色,300,1
154127381,221新品首發_小米藍牙自拍桿_自拍神器_自拍器,黑,520,988
154127381,221新品首發_小米藍牙自拍桿_自拍神器_自拍器,灰,460,995
42047958,Annabon旋轉木馬搖搖馬小馬鏡頭水鑽zenfone2_5吋55吋_貼鑽手機殼_保護殼套_透明bingbing,5吋,290,5
42047958,Annabon旋轉木馬搖搖馬小馬鏡頭水鑽zenfone2_5吋55吋_貼鑽手機殼_保護殼套_透明bingbing,55吋,290,5
141559830,小米note2全屏剛化保護貼會在多送一個清水套透明的跟一個背貼塑膠的20點以前下標當天寄出,黑滿版,200,1
42047966,Annabon蝴蝶結_寶石_果凍_紅色白色粉紅_水鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_貼鑽_手機殼套_保護殼套,1號,410,2
42047966,Annabon蝴蝶結_寶石_果凍_紅色白色粉紅_水鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_貼鑽_手機殼套_保護殼套,2號,410,2
42047966,Annabon蝴蝶結_寶石_果凍_紅色白色粉紅_水鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_貼鑽_手機殼套_保護殼套,3號,410,2
42047966,Annabon蝴蝶結_寶石_果凍_紅色白色粉紅_水鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_貼鑽_手機殼套_保護殼套,4號,410,2
42047966,Annabon蝴蝶結_寶石_果凍_紅色白色粉紅_水鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_貼鑽_手機殼套_保護殼套,5號,410,2
193974562,蘋果7PLUS白色霧面黑軟邊3D曲面20點以前下標當天寄出,白色7PLUS,250,1
193974562,蘋果7PLUS白色霧面黑軟邊3D曲面20點以前下標當天寄出,消光黑7PLUS,250,3
42047972,Annabon黑色寶石_珍珠_水鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_棋盤_黑白_手機殼_貼鑽_保護套,5吋,370,2
