item_id,product_name,ship_name,ship_price
180686271,WH_SONY_Z3_鋼化玻璃保護貼_9H_鋼化玻璃_手機保護_防刮_防摔,中華郵政,40
976663707,LG_V10_H962_57吋_4G64G_六核心雙螢幕雙鏡頭雙前鏡頭攝旗艦智慧型手機公司貨,7-11,30
976663707,LG_V10_H962_57吋_4G64G_六核心雙螢幕雙鏡頭雙前鏡頭攝旗艦智慧型手機公司貨,全家,30
976663707,LG_V10_H962_57吋_4G64G_六核心雙螢幕雙鏡頭雙前鏡頭攝旗艦智慧型手機公司貨,萊爾富,30
797159871,倍思新款飛碟無線充電器QI_iPhone_8X_安卓_note8快充充電器_無線接收器_發送器_充電片_充電板,黑貓宅急便,90
797159871,倍思新款飛碟無線充電器QI_iPhone_8X_安卓_note8快充充電器_無線接收器_發送器_充電片_充電板,7-11,60
797159871,倍思新款飛碟無線充電器QI_iPhone_8X_安卓_note8快充充電器_無線接收器_發送器_充電片_充電板,全家,60
480285430,良匠二手機_APPLE_iPhone_6_16G_47吋_銀色_盒裝機況不錯五福,黑貓宅急便,210
480285430,良匠二手機_APPLE_iPhone_6_16G_47吋_銀色_盒裝機況不錯五福,7-11,30
480285430,良匠二手機_APPLE_iPhone_6_16G_47吋_銀色_盒裝機況不錯五福,賣家宅配,90
236844309,外貿熱銷_阿迪達斯_服裝品牌_LOGO鑰匙_手機工作證吊繩_插扣掛繩,圓通-黑貓宅配,55
236844309,外貿熱銷_阿迪達斯_服裝品牌_LOGO鑰匙_手機工作證吊繩_插扣掛繩,圓通-711超取,55
127445939,G_AX1BA__11600mAh_行動電源,黑貓宅急便,90
127445939,G_AX1BA__11600mAh_行動電源,7-11,30
127445939,G_AX1BA__11600mAh_行動電源,全家,30
127445939,G_AX1BA__11600mAh_行動電源,賣家宅配,80
967295910,QI_無線充電_行動電源_10000__輕薄_iphone_蘋果三星HTC華碩小米,7-11,60
